ID,캐릭터 이름,대사,스프라이트 이름
1,???,그 거대한 학교는'\n도시 한복판에 우뚝 솟아있었다.,
,,마치... 그 곳이 세상의 중심인 것처럼...,
2,???,「사립 키보가미네 학교」...,
,,각 분야의 초일류 고교생들을 모아\n양성하는 것이 목적인 정부공인의 초특권학교...,
,,이 학교를 졸업하는 것은 성공한 인생과 마찬가지라고들 말한다.,
,,수백 년의 역사를 가지고 있으며' 각계의 유망한\n인재를 계속해서 배출해내는 전통있는 학교인 듯 하다...,
,,"나라의 장래를 담당하는 ⓖ""희망""ⓐ을 길러내는 것을 목적으로 하는\n그야말로 ⓖ""희망의학교""ⓐ 라고 부르기에 합당한 곳이다.",
3,???,그러한 이 학교의 입학 자격은 두 가지...,
,,"ⓖ""고교생""ⓐ\n""각 분야에서 ⓖ""초일류""ⓐ",
,,신입생 모집은 하지 않으며'\n학교 측에서 스카우트한 학생만 입학을 허용한다.,
4,???,"그런' ⓖ""초""ⓐ가 몇개나 붙을 정도로 대단한 학교의 교문 앞에...",
,,나는 서있었다...,
5,나에기 마코토,"우선 오소독스하게 자기 소개부터 시작할까 한다...\n내 이름은 ⓖ""나에기 마코토""ⓐ다.",
6,나에기 마코토,보시다시피'\n외견은 평균적인 보통 고교생...,
,,내용물도 마찬가진다...,
,,성격도 특기도 성적도\n벽다른 특징은 없다.,
,,특별한 취미나 취향도 없고\n뮤턴트도 아니며 스탠드를 내지도 못한다...,
,,내가 좋아하는 아이돌이나 만화' 음악'\n영화를 알고 싶다면...,
,,방송을 보면 된다.\n1위가 되는 녀석이 대개 내 취향이니까.,
,,"""왕도""라는 말조차 도망갈 정도인\n그야말로 평범함 중의 평범함...",
,,...그게 나다.,
,,처음에' 자기소개라는 오소독스한 부분부터\n시작한 것도 그 좋은 예라고 생각한다...,
,,뭐' 굳이 말한다면\n 유일한 장점은...,
,,다른 사람보다 조금 긍정적인 것 정도일까.,
7,나에기 마코토,지금' 그런 평범한 내가...,
,,키보가미네 학원이라는\n평범하지 않은 학교 앞에 서있지만...,
,,정말... 대단한 곳에 와버렸어...\n나 따위가... 이런 학교에서 잘 지낼 수 있을까?,
,,물론' 나는\n이 학교의 압도적인 존재감에 삼켜졌다.,
,,하지만 내가 이렇게 되는 것도 무리는 아니다.\n라는 사실을 전하기 위해서라도...,
,,"어제 저녁의 ⓖ""사전준비""ⓐ를\n 설명하는 것이 좋겠다.",
8,나에기 마코토,키보가미네 학원에 선정된 학생들은\n정말 각 분야의 초일류 고교생들...,
,,그 선발 멤버에 대해서\n인터넷 게시판에 전용 스레드가 설 정도로 화제다.,
,,나는 사전준비 삼아\n그것을 찾아봤는데...,
,,"거기에는 모두 범상치 않은\nⓖ""초고교급""ⓐ의 면면만이 갖춰져 있었다.",
9,나에기 마코토,"예를 들어 ⓖ""초고교급 아이돌""ⓐ로\n키보가미네 학원에 입학한 것은...",
,,국민 아이돌 그룹의 센터로 활약하고 있는\n화제의 여고생 아이돌이라거나...,
10,나에기 마코토,"ⓖ""초고교급 야구선수""ⓐ로 입한하는 것은...",
,,고교야구대회 우승팀의 에이스 4번 타자'\n프로도 주목하는 인재라고 했던가...,
11,나에기 마코토,"ⓖ""초고교급 갸루""ⓐ로 입학하는 것은...",
,,패션 잡지 표지를 장식하는 인기 모델로'\n여고생들의 카리스마적인 존재다...,
12,나에기 마코토,"게다가 ⓖ""초고교급 폭주족""ⓐ으로\n입학하는 녀석도 있었다...",
,,무서운 점은 일본 최대의 폭주족 대장에다가\n전국 양아치들의 존경과 두려움을 모으는 카리스마.,
13,나에기 마코토,그외에도 초고교급 격투가' 초고교급 상속자'\n초고교급 수영선수에 초고교급 동인작가...,
,,초고교급 프로그래머' 초고교급 갬블러'\n초고교급 선도위원' 초고교급 점술가 등...,
,,거기에는 나 자신의 무력함을 느낄 정도로\n쟁쟁한 멤버만이 갖춰져 있었던 것이다...,
,,비유하자면'\n사자 무리에 섞인 고양이의 기분...,
,,...하지만 조금 신경쓰이는 것도 있었다.,
,,아무리 검색해도 정보가 없는 신입생이\n몇 명 있는 것 같았다...,
,,그 중 하나는\n아무 재능이 없는 나니까 넘어가고...,
,,그렇다면' 다른 정보가 없는 신입생은 누구일까 ?,
,,나와 마찬가지로\n이렇다 할 재능이 없는 사람이 있는 건가...?,
,,...그렇게 생각하자 약간의 용기가 솟아난다.\n아무리 나라지만 한심한 성격이다.,
,,뭐' 그건 됐다 치고...\n문제는...,
,,"그런 ""초고교급"" 멤버들 사이에\n어째서 평범한 고교생인 내가 선택된 것인가.",
,,키보가미네 학원에서 준\n이 입학 통지서를 보면 알 수 있다.,
14,나에기 마코토,「이번에 우리 학교에서 평범한 학생 중\n추첨으로 한 명을 선출했습니다.」,
,,"「그 결과로 당선된 당신을 ⓖ""초고교급 행운""ⓐ으로'\n우리 학교에 입학시키게 되었습니다.」",
,,"즉' 내가 선택된 것은 단순한 ⓖ""운""ⓐ이라는 것이다.\n여기 써있기도 하고...",
,,이게 사실이라면 자퇴하는 것이 좋았을지도 모르지만...,
,,"ⓖ""졸업하면 성공과 마찬가지""ⓐ라는 걸\n듣고나자 자퇴할 수 없었다...",
15,나에기 마코토,막상 이렇게 학교를 마주하고 나니...,
,,역시 안되겠다' 하는 겁도 난다...,
,,...그래도 언제까지고 교문 앞에서\n풀 죽어 있을 수도 없지...,
,,혼자 투덜거리며'\n나는 입학통지서로 시선을 돌렸다.,
,,"통지서에는 ⓖ""신입생은 8시에 현관에 집합""ⓐ이라 써 있었다.",
,,집합 시간까지는 아직 시간이 있지만...,
,,슬슬... 가볼까...,
,,좋아... 가자...!!,
,,고작 첫 등교라고 생각하지 못할 만큼\n과장된 결의를 굳히며...,
16,나에기 마코토,나는 현관으로 향했다.,
,,집합 장소인 현관은 여기다.\n아직 아무도 없는 것 같은데...,
,,현관의 시계를 올려다봤다.\n시계는 7시 10분을 가리키고 있었다.,
,,집합 시간은 8시니까... 아직 50분이나 남았다.,
,,아무도 없는 게 당연한가...,
,,긴장해서... 너무 빨리 와버렸다...,
,,집합 시간까지는 한참 남았지만\n여기에서 계속 기다려야 하나...,
,,그래' 먼저 학교를 둘러볼까.\n그 김에 긴장도 풀고.,
,,나도 이젠 이 학교의 학생이니까\n괜찮... 겠지 ?,
,,그 정도의 가벼운 마음으로\n키보가미네 학원에서의 첫 걸음을 내딛었다.,
,,새로운 학교 생활을 시작하는 희망의 첫 단계...,
,,...가 되어야 할 터였다.,
17,나에기 마코토,...앗 ! ?,
,,하지만' 그 첫걸음을 내딛자마자...,
18,나에기 마코토,내 시야가 빙글빙글 뒤틀리기 시작했다.,
19,나에기 마코토,곧 세계는 끈적한 엿처럼 녹아 합쳐졌다......,
,,빙글빙글빙글빙글'\n끈적끈적끈적끈적끈적하게 되었고...,
20,나에기 마코토,그저 어둠만이 있었다.,
,,그것이 시작이자...,
,,그리고 일상의 끝...,
,,그 시점에서...\n나는 깨달았어야 했을지도 모른다....,
,,"내가 키보가미네 학원에 온 것은'\nⓖ""초고교급 행운""ⓐ따위가 아니라...",
,,"ⓖ""초고교급 불행""ⓐ이었다는 것을...",